index,name,artist,release_date,length,popularity,tempo,time_signature
1420,Babooshka,Kate Bush,1980,3.498883333,60,107.173,4
1421,Glory Glory,Head Like A Hole,2011,3.523716667,35,112.093,4
1422,Original Prankster,The Offspring,2000,3.682433333,62,146.804,4
1423,Bleed It Out,Linkin Park,2007,2.772883333,73,140.127,4
1424,Don't Stop (Color on the Walls),Foster The People,2011,2.915333333,64,133.004,4
1425,Mustang Sally,Wilson Pickett,2005,3.129333333,59,110.438,4
1426,Englishman In New York,Sting,1987,4.454433333,72,102.013,4
1427,Jailbreak,AC/DC,1984,4.682666667,62,131.567,4
1428,Lovefool,The Cardigans,1996,3.23155,67,111.87,4
1429,Lyin' Eyes - 2013 Remaster,Eagles,1975,6.366633333,66,132.68,4
1430,No Leaf Clover - Live,Metallica,1999,5.72,53,151.568,4
1431,Black Metallic,Catherine Wheel,1992,7.3151,41,149.765,4
1432,I Melt with You,Modern English,1982,4.192883333,61,155.582,4
1433,Starship Trooper: Life Seeker - Single Version,Yes,1971,3.444433333,28,166.484,4
1434,Flesh For Fantasy - Remastered,Billy Idol,1983,4.638,50,94.491,4
1435,Love Is Strange,Various Artists,1987,2.888883333,56,121.694,4
1436,Let Down,Radiohead,1997,4.992666667,60,102.489,4
1437,Tales Of Brave Ulysses,Cream,1967,2.772666667,47,105.659,4
1438,Rock Of Ages,Def Leppard,1983,4.130466667,62,105.893,4
1439,Sleep Now In the Fire,Rage Against The Machine,1999,3.426666667,67,127.059,4
1440,I Don't Feel Like Dancin' - Radio Edit,Scissor Sisters,2006,4.144,68,108.033,4
1441,Round and Round,Ratt,1984,4.43155,65,126.538,4
1442,Rocket,Def Leppard,1987,6.613716667,54,81.998,4
1443,Itchycoo Park (Mono Version) - 2012 Remaster,Small Faces,1967,2.778,53,127.267,4
1444,Man On The Silver Mountain,Rainbow,1975,4.620433333,59,107.484,4
1445,Little Darlin',The Diamonds,1996,2.15555,54,152.851,4
1446,Last Cup of Sorrow,Faith No More,1997,4.34555,44,76.848,4
1447,The Voice,The Moody Blues,1981,5.276,43,152.334,4
1448,Wolf Like Me,TV On The Radio,2006,4.654883333,61,175.919,4
1449,Thieves like Us - 2011 Total Version,New Order,2011,3.94355,39,113.079,4
1450,Venus In Furs,The Velvet Underground,1967,5.204216667,58,144.724,4
1451,Freak Scene,Dinosaur Jr.,1988,3.616,46,76.996,4
1452,Last Train Home (Originally Performed by Lostprophets) - Vocal Version,Singer's Edge Karaoke,2013,4.091433333,4,102.49,4
1453,Live And Let Die,Guns N' Roses,1991,3.04555,69,152.5,4
1454,Centerfield,John Fogerty,2010,3.855766667,61,142.359,4
1455,Alex Chilton - 2008 Remaster,The Replacements,1987,3.23955,52,165.64,4
1456,Jokerman,Bob Dylan,1983,6.269333333,50,134.986,4
1457,In the City - 2013 Remaster,Eagles,1979,3.742483333,54,81.814,4
1458,Who Do You Love?,George Thorogood & The Destroyers,1992,4.336,57,107.237,4
1459,Going Up The Country,Canned Heat,1987,2.856216667,63,80.392,4
1460,Time Stand Still,Rush,1987,5.147766667,52,138.292,4
1461,For Tomorrow - 2012 Remaster,Blur,1993,4.354,49,95.849,4
1462,Candy's Room,Bruce Springsteen,1978,2.770666667,42,150.401,4
1463,Where the Wild Roses Grow - 2011 - Remaster,Nick Cave & The Bad Seeds,1996,3.951333333,61,154.649,3
1464,In Dreams,Roy Orbison,1963,2.819333333,57,108.189,4
1465,My Wife,The Who,1971,3.561333333,40,122.014,4
1466,My Mind's Sedate,Shihad,1999,2.899333333,21,99.095,4
1467,Nowhere To Run,Martha Reeves & The Vandellas,1965,3.027333333,60,129.34,4
1468,Dreadlock Holiday,10cc,1978,4.465766667,67,104.995,4
1469,Lonely Day,System Of A Down,2005,2.798433333,72,113.108,3
1470,Click Click Boom,Saliva,2001,4.206666667,70,95.957,4
1471,Carrie,Europe,1986,4.53555,71,136.482,4
1472,Voodoo Child (Slight Return) - Live,Stevie Ray Vaughan,2002,11.87666667,40,179.461,4
1473,If I Was Your Girlfriend,Prince,1987,5.028883333,48,96.74,4
1474,Throw Your Arms Around Me,Various Artists,2013,3.970883333,51,105.632,4
1475,Beginning To See The Light,The Velvet Underground,2014,4.668,36,124.401,4
1476,That's All - Remastered 2007,Genesis,1983,4.436216667,61,175.181,4
1477,Ants Marching,Dave Matthews Band,1994,4.519766667,62,113.32,4
1478,Blood Sugar Sex Magik,Red Hot Chili Peppers,1991,4.519333333,52,146.574,4
1479,Superman (It's Not Easy),Five For Fighting,2000,3.694883333,70,102.089,4
1480,Downfall,TRUSTcompany,2002,3.18955,59,128.682,5
1481,First Date,blink-182,2001,2.858883333,73,95.594,4
1482,Serenity,Godsmack,2007,4.574666667,48,110.159,4
1483,Given Up,Linkin Park,2007,3.154883333,68,100.088,4
1484,Travelin' Band,Creedence Clearwater Revival,1970,2.124883333,59,166.186,4
1485,Novocaine For The Soul,Eels,2008,3.128666667,51,169.288,4
1486,Remember (Walkin' In The Sand),The Shangri-Las,1996,2.302216667,52,66.344,4
1487,Fool To Cry - Remastered 2009,The Rolling Stones,1976,5.09,55,67.848,4
1488,In the Ghetto,Elvis Presley,1969,2.790216667,65,88.916,4
1489,Head On,The Jesus and Mary Chain,1989,4.191333333,48,138.978,4
1490,Roots Bloody Roots,Sepultura,1996,3.53755,61,119.708,4
1491,That's the Way of the World,"Earth, Wind & Fire",1975,5.758433333,57,82,4
1492,Right Here Waiting,Richard Marx,1989,4.40555,76,177.679,4
1493,Midnight Rambler - Live,The Rolling Stones,2020,10.34355,40,143.646,4
1494,Lazy,Deep Purple,1972,7.3771,41,187.837,4
1495,You Again - Originally By Shihad,earthtone9,2004,4.594883333,1,141.6,3
1496,Counting the Beat,Various Artists,2020,3.07155,21,195.062,4
1497,Elected,Alice Cooper,1973,4.134,38,135.299,4
1498,Dirty Water,The Standells,1966,2.78755,45,144.707,4
1499,The Seeker - Edit,The Who,1971,3.172883333,61,177.477,4
1500,Sisters Are Doin' It For Themselves - (Tribute to The Eurythmics & Aretha Franklin),Studio Allstars,2009,4.11955,0,138.156,4
1501,Seein' Red,Unwritten Law,2001,3.781766667,47,103.032,4
1502,Cold,Crossfade,2004,3.2371,68,147.974,4
1503,Shout,Tears For Fears,1985,6.5611,71,97.909,4
1504,I Don't Know - EP Version,The Sheepdogs,2011,3.182433333,48,79.967,4
1505,Detachable Penis,King Missile,1992,3.387333333,44,111.421,4
1506,DARE,Gorillaz,2005,4.083316667,74,120.265,4
1507,Reckless (Don't Be So...) - Remastered,Australian Crawl,1983,5.3998,56,60.197,4
1508,Holy Wars...The Punishment Due - Remastered 2004,Megadeth,1990,6.543333333,66,125.307,4
1509,Beautiful Dangerous (feat. Fergie),Slash,2010,4.64155,38,98.139,4
1510,Phasors On Stun,FM,1977,3.816,32,125.111,4
1511,Waiting for the Bus / Jesus Just Left for Chicago,CMH Steel,2002,6.72755,2,111.823,4
1512,Sara - 2015 Remaster,Fleetwood Mac,1979,4.5851,63,127.01,4
1513,Face Down,The Red Jumpsuit Apparatus,2006,3.2,75,92.956,4
1514,Optimistic,Radiohead,2000,5.266216667,54,157.957,4
1515,Destiny,Zero 7,2001,5.637983333,58,138.009,4
1516,Ain't Too Proud To Beg - Remastered,The Rolling Stones,1974,3.509333333,37,128.641,4
1517,Pink Cadillac - Single B-Side - 1984,Bruce Springsteen,1998,3.5511,52,129.337,4
1518,Lady Picture Show,Stone Temple Pilots,1996,4.1051,46,156.905,4
1519,The Shape I'm In - Remastered 2000,The Band,1970,4.00955,52,128.079,4
1520,We've Got Tonight,Bob Seger,1978,4.686883333,57,130.189,4
1521,Jerry Was A Racecar Driver - 2013 Mix,Primus,1991,3.18155,28,122.582,4
1522,Teach Your Children,"Crosby, Stills, Nash & Young",1970,2.8911,64,154.7,4
1523,Counting Blue Cars (Tell Me Your Thoughts On God),Various Artists,2015,4.842,46,100.353,4
1524,Vindicated,Dashboard Confessional,2007,3.355766667,52,86.012,4
1525,Wheel in the Sky,Journey,1978,4.204,63,105.191,4
1526,Run,Snow Patrol,2004,5.9091,64,74.537,4
1527,Punk Rock Girl,The Dead Milkmen,1988,2.638883333,51,129.492,4
1528,Neon Sunrise - Bonus Track,I Am Giant,2014,4.56155,12,163.619,4
1529,Bed Of Roses,Bon Jovi,1992,6.573333333,73,164.587,3
1530,Only the Good Die Young,Billy Joel,1977,3.926,66,76.214,4
1531,Poison Girl,HIM,2014,3.851716667,31,123.663,4
1532,Are You Experienced?,Jimi Hendrix,1967,4.260216667,49,82.812,4
1533,I Love It Loud,KISS,1982,4.2571,58,170.916,4
1534,The Good Left Undone,Rise Against,2006,3.024216667,49,196.983,5
1535,Shop Around,Smokey Robinson & The Miracles,1998,2.822216667,12,132.082,4
1536,Rid Of Me,PJ Harvey,1993,4.480433333,51,125.383,4
1537,A Kind Of Magic - Remastered 2011,Queen,1986,4.404216667,68,130.128,4
1538,Fooling Yourself (The Angry Young Man),Styx,1977,5.5311,47,102.855,4
1539,Kentucky Woman,Deep Purple,1968,4.742216667,32,171.411,4
1540,One Fine Day,The Chiffons,2004,2.13665,60,177.13,4
1541,Happy?,Mudvayne,2005,3.6071,68,100.078,4
1542,Changed the Locks,Lucinda Williams,2014,3.730883333,36,139.501,4
1543,Veronica,Elvis Costello,1989,3.158433333,53,153.989,4
1544,Mama Kin,Aerosmith,1973,4.453766667,51,153.359,4
1545,"Close to the Edge (i. The Solid Time of Change, ii. Total Mass Retain, iii. I Get up I Get Down, iv. Seasons of Man) - 2003 Remaster",Yes,1972,18.68755,46,80.654,3
1546,Talk Shows on Mute,Incubus,2004,3.806666667,52,114.072,4
1547,Blue Monday,Orgy,1998,4.45,61,129.833,4
1548,The Dark End of the Street,James Carr,2013,2.566433333,45,75.168,4
1549,We Are The World,U.S.A. For Africa,1985,7.122216667,68,72.58,4
1550,When I Grow Up,Garbage,1998,3.408783333,39,139.873,4
1551,Love Rollercoaster,Classic Sounds,2014,4.44355,24,117.062,4
1552,You Might Think,The Cars,1984,3.078616667,60,133.887,4
1553,Get Together,The Youngbloods,1967,4.654666667,54,103.064,4
1554,Cornflake Girl,Tori Amos,1994,5.09155,60,133.739,4
1555,And We'll Defy,I Am Giant,2011,4.168666667,23,125.812,4
1556,Got My Mind Set On You - Remastered 2004,George Harrison,1987,3.910883333,71,149.206,4
1557,Something In The Air,Thunderclap Newman,1969,3.906,54,94.221,4
1558,Say You Love Me,Fleetwood Mac,1975,4.165766667,64,128.068,4
1559,Da Ya Think I'm Sexy?,Rod Stewart,1978,5.522216667,69,111.504,4
1560,Smokin',Boston,1976,4.356433333,63,175.068,4
1561,Don't Come Around Here No More,Tom Petty and the Heartbreakers,1985,5.122216667,56,160.531,4
1562,Only,Nine Inch Nails,2005,4.384883333,46,112.15,4
1563,Rollin' (Air Raid Vehicle),Limp Bizkit,2000,3.562666667,74,96.306,4
1564,Are You In?,Incubus,2001,4.403333333,61,93.986,4
1565,"April 29, 1992 (Miami)",Sublime,1996,3.89,43,78.937,4
1566,Bat Country,Avenged Sevenfold,2005,5.196883333,69,125.04,4
1567,The Promised Land,Bruce Springsteen,1978,4.474216667,48,115.11,4
1568,You're Beautiful,James Blunt,2005,3.49155,76,81.998,4
1569,The Great Gig in the Sky,Pink Floyd,1973,4.7312,66,116.388,4
1570,Anything Goes,Cole Porter,2011,5.804216667,49,98.823,4
1571,Stop! In The Name Of Love - Single Version,The Supremes,1965,2.881766667,64,114.961,4
1572,Psycho,The Sonics,1991,2.347766667,44,140.543,4
1573,This is Radio Clash,The Clash,2013,4.208,43,122.351,4
1574,I Get It,Chevelle,2007,3.916433333,51,124.462,4
1575,Ready To Fall,Rise Against,2006,3.7951,47,128.573,4
1576,Romeo and Juliet,Dire Straits,1980,6.02325,55,87.318,4
1577,Still Frame,Trapt,2002,4.518216667,50,113.945,4
1578,Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,2008,5.601866667,65,107.96,4
1579,I Will Buy You A New Life,Everclear,1997,3.968883333,55,169.665,4
1580,Sail Away - Remastered,Randy Newman,1972,2.887766667,36,134.75,4
1581,Africa,TOTO,1982,4.93155,83,92.718,4
1582,Raise The Alarm,The Living End,2008,3.624666667,36,160.186,4
1583,Little Talks,Of Monsters and Men,2012,4.443333333,59,102.878,4
1584,Twilight Zone,Golden Earring,2008,7.968433333,57,118.56,4
1585,Cemetry Gates - 2011 Remaster,The Smiths,1986,2.684,54,105.354,4
1586,Hello It's Me,Todd Rundgren,1972,4.40155,55,87.246,4
1587,Not Your Fault,AWOLNATION,2011,4.041166667,54,144.028,4
1588,Swallowed - Remastered,Bush,1996,4.850883333,52,179.492,4
1589,Is She Really Going Out With Him?,Joe Jackson,1979,3.584433333,59,116.117,4
1590,We're Here For A Good Time (Not A Long Time),Trooper,1977,3.570883333,51,122.199,4
1591,Addicted,Saving Abel,2008,3.713766667,68,138.018,4
1592,Prime Mover (Re-Recorded Version),Zodiac Mindwarp & The Love Reaction,2009,3.198516667,17,152.043,4
1593,Little Black Backpack (Remastered),Stroke 9,2010,3.748983333,50,118.1,4
1594,Look Around,Red Hot Chili Peppers,2011,3.466666667,59,111.911,4
1595,No Resolution,Seether,2011,3.137283333,26,121.979,4
1596,No Cars Go,Arcade Fire,2007,5.7271,58,135.737,4
1597,No Ordinary Thing,Opshop,2005,5.456666667,34,76.991,4
1598,That's When I Reach For My Revolver,Mission Of Burma,1981,3.892883333,50,147.119,4
1599,What's This Life For,Creed,1997,4.1371,53,141.772,4
1600,Crazy,Willie Nelson,1962,2.88335,46,99.488,3
1601,Holiday in Cambodia,Dead Kennedys,1987,3.747766667,62,197.708,4
1602,Blue Collar Man (Long Nights),Styx,1978,4.122883333,53,124.25,4
1603,Changes - 2013 Remaster,Black Sabbath,1972,4.708283333,49,80.814,3
1604,Lakeside Park - Live,Rush,1975,4.126666667,41,94.993,4
1605,The Rain Song - Remaster,Led Zeppelin,1973,7.65155,62,79.66,4
1606,Scarlet Begonias - 2013 Remaster,Grateful Dead,1974,4.328366667,59,167.758,4
1607,Spinning Wheel,"Blood, Sweat & Tears",1968,4.1211,51,96.818,4
1608,"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,1997,3.58555,72,157.17,4
1609,I'll Wait - 2015 Remaster,Van Halen,1984,4.6691,58,115.397,4
1610,The Trees,Rush,1978,4.708433333,48,135.742,5
1611,Radio Nowhere,Bruce Springsteen,2007,3.317766667,56,140.219,4
1612,Separate Ways (Worlds Apart),Journey,1983,5.3951,67,131.435,4
1613,Jack-Ass,Beck,2004,4.204666667,29,106.516,4
1614,Joker & The Thief - Final Hour Mix,Wolfmother,2018,2.517633333,44,84.981,4
1615,Please Bleed,Ben Harper And The Innocent Criminals,1999,4.6311,31,121.895,4
1616,Larger Than Life - Sin Sing Studio Mix,the feelers,2003,3.587766667,41,169.99,4
1617,Shot in the Dark,Ozzy Osbourne,1986,4.27155,62,123.887,3
1618,Between the Lines,Stone Temple Pilots,2010,2.843766667,36,137.022,4
1619,When the Children Cry,White Lion,1987,4.31,62,130.258,4
1620,I Will Dare,The Replacements,1984,3.290433333,47,167.709,4
1621,No Particular Place To Go,Chuck Berry,1964,2.716666667,62,129.237,4
1622,Only Wanna Be with You,Various Artists,2020,3.826433333,0,103.271,4
1623,Original Sin,INXS,2011,5.3091,43,131.536,4
1624,Sweet Thing - 1999 Remaster,Van Morrison,1968,4.425766667,63,86.604,3
1625,Ship of Fools,World Party,1987,4.474883333,51,116.288,4
1626,Ch-Check It Out,Beastie Boys,2004,3.2071,56,115.062,4
1627,Dreams,Allman Brothers Band,1969,7.322283333,39,128.901,3
1628,Walk,Pantera,1992,5.252,73,118.242,4
1629,Can't Hardly Wait - 2008 Remaster,The Replacements,1987,3.135766667,53,141.256,4
1630,Resistance,Muse,2009,5.778216667,63,135.006,4
1631,We Used To Be Friends,The Dandy Warhols,2003,3.332666667,55,105.284,4
1632,"Radio, Radio",Elvis Costello & The Attractions,1978,3.10355,47,146.75,4
1633,The Anthem,Good Charlotte,2002,2.918216667,74,177.751,4
1634,No One's Gonna Love You (Stockholm Version),Band of Horses,2018,3.810766667,59,141.987,4
1635,Lick It Up,KISS,1983,3.944,63,120.276,4
1636,Fool's Overture,Supertramp,1977,10.876,55,135.272,4
1637,You,Candlebox,1993,4.952883333,55,195.303,3
1638,Soon,My Bloody Valentine,1991,6.978433333,44,109.575,4
1639,Down In It,Nine Inch Nails,1989,3.773333333,46,104.038,4
1640,Oh Well (Pt. 1) - 2013 Remaster,Fleetwood Mac,1969,3.373333333,45,103.431,4
1641,Legendary Child,Aerosmith,2012,4.222216667,35,110.18,4
1642,Big Balls,AC/DC,1976,2.646216667,59,107.066,4
1643,Red Red Wine,UB40,2000,3.062216667,73,89.119,4
1644,Sister Christian,Night Ranger,1983,5.048883333,63,177.279,4
1645,Sugar,System Of A Down,1998,2.563333333,70,131.073,4
1646,Broken Home,Papa Roach,2000,3.714,49,94.561,4
1647,Victoria - Mono Mix,The Kinks,1969,3.66755,50,141.82,4
1648,She's Leaving Home - Remastered 2009,The Beatles,1967,3.586,61,127.581,3
1649,Bridge Burning,Foo Fighters,2011,4.774433333,57,170.199,4
1650,Don't Stay Home,311,2016,2.720433333,25,109.003,4
1651,Even The Losers,Tom Petty and the Heartbreakers,2008,3.644433333,48,131.336,4
1652,Easy,Faith No More,1992,3.116,68,124.724,4
1653,We've Only Just Begun,Carpenters,1970,3.073766667,60,86.467,4
1654,Achilles Last Stand - Remaster,Led Zeppelin,2007,10.51466667,45,145.81,4
1655,Immortality - Remastered,Pearl Jam,1994,5.3011,57,129.089,4
1656,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,1990,4.3131,76,80.609,4
1657,Y.m.c.a - Village People,Baby Land,2011,3.654083333,18,124.908,4
1658,It's My Life,The Animals,1965,3.126883333,46,122.85,4
1659,Ex-Girlfriend,No Doubt,2000,3.527766667,50,173.135,4
1660,Cold Shot,Stevie Ray Vaughan,1984,4.016433333,50,109.629,4
1661,Animal Nitrate,Suede,2010,3.477333333,28,101.124,4
1662,I Can't Tell You Why - 2013 Remaster,Eagles,1979,4.917483333,63,85.094,4
1663,The Way,Fastball,1998,4.284883333,63,120.837,4
1664,Joy To The World,Three Dog Night,1970,3.676216667,65,126.867,4
1665,Custard Pie - 1990 Remaster,Led Zeppelin,1975,4.2311,54,182.107,4
1666,Ready to Go,Republica,2002,5.02555,48,130.047,4
1667,Swing Life Away,Rise Against,2004,3.334433333,58,185.117,3
1668,I'm Not Okay (I Promise),My Chemical Romance,2004,3.108,74,179.722,4
1669,Out In The Fields In the Style of Gary Moore & Phil Lynott,Sunfly Karaoke,2009,4.634433333,1,89.985,4
1670,Sister Golden Hair,America,1975,3.326216667,68,134.753,4
1671,Man Overboard,blink-182,2000,2.778883333,56,196.291,4
1672,Got You (Where I Want You),The Flys,2000,4.032216667,47,151.313,4
1673,Blow At High Dough,The Tragically Hip,2005,4.628433333,41,121.566,4
1674,Sweetest Thing,U2,1987,3.075716667,65,141.65,4
1675,The Other Side,Aerosmith,1994,4.052216667,37,126.86,4
1676,Have a Drink on Me,AC/DC,1980,3.974433333,60,122.424,4
1677,Still Waiting,Sum 41,2002,2.64555,70,191.936,4
1678,Pressure and Time,Rival Sons,2011,3.27955,53,93.274,4
1679,"Dolly Dagger - Live In Maui, 1970",Jimi Hendrix,2020,4.8331,31,117.631,4
1680,Sun King - Remastered 2009,The Beatles,1969,2.437766667,56,74.994,4
1681,Wonderful,Everclear,2000,4.680216667,58,186.765,4
1682,Love Is Like Oxygen,Sweet,1993,3.792216667,42,123.416,4
1683,Sabbath Bloody Sabbath,Black Sabbath,1973,5.793766667,57,137.757,4
1684,Radio Ga Ga - Live Aid,Queen,2018,4.094666667,55,118.823,4
1685,Somebody to Shove,Soul Asylum,1992,3.24555,51,162.235,4
1686,That's the Way (I Like It) - 2004 Remaster,KC & The Sunshine Band,1975,3.0851,61,108.674,4
1687,This Is Gonna Hurt,Sixx:A.M.,2011,3.938216667,54,136.011,4
1688,Roll Away the Stone,Mott The Hoople,1974,3.14955,42,124.652,4
1689,Gigantic,Pixies,1988,3.961766667,57,115.174,4
1690,Stay,Lisa Loeb & Nine Stories,1995,3.062666667,60,80.316,4
1691,An Honest Mistake,The Bravery,2005,3.661766667,56,140.038,4
1692,Glad,Traffic,1970,6.998216667,38,134.785,4
1693,Phantom Limb,The Shins,2007,4.792783333,49,119.852,4
1694,Rainbow In The Dark,Dio,1983,4.21155,64,117.582,4
1695,Girls Got Rhythm,AC/DC,1979,3.388216667,62,137.794,4
1696,Paper Planes,M.I.A.,2007,3.396,45,172.247,4
1697,Kids Wanna Rock,Bryan Adams,1984,2.5893,42,162.198,4
1698,On Call,Kings of Leon,2007,3.363333333,57,193.356,4
1699,You Took The Words Right Out Of My Mouth (Hot Summer Nights) - Live,Meat Loaf,1999,4.834433333,11,120.741,4
1700,Straight to Hell - Remastered,The Clash,1982,5.508433333,58,90.273,4
1701,Have A Nice Day,Bon Jovi,2005,3.818433333,61,130.06,4
1702,The Great Beyond,R.E.M.,2003,5.116666667,51,109.702,4
1703,Babies,Pulp,1994,4.080433333,60,156.278,4
1704,Dirty Little Secret,The All-American Rejects,2005,3.22755,64,143.853,4
1705,Keep Your Hands to Yourself,The Georgia Satellites,1986,3.479333333,61,114.88,4
1706,Two Tribes,Frankie Goes To Hollywood,1984,3.468883333,56,130.202,4
1707,The Passenger,Iggy Pop,1977,4.722666667,73,134.88,4
1708,Bodysnatchers,Radiohead,2007,4.038216667,59,166.664,4
1709,Shake It Up,The Cars,1981,3.590666667,49,147.274,4
1710,Believe,Staind,2008,4.288433333,35,113.933,4
1711,Personal Jesus,Marilyn Manson,2004,4.116,49,130.122,4
1712,"The Cover of ""Rolling Stone""",Dr. Hook,1972,2.874883333,56,142.332,4
1713,Roll Over Beethoven,Electric Light Orchestra,1973,8.151766667,30,172.498,4
1714,Warning,Incubus,2001,4.64555,55,81.047,4
1715,Fall On Me - 2011 Remaster,R.E.M.,1986,2.832,48,118.256,4
1716,From the Blind Spot,Blacklistt,2013,3.92635,32,103.056,4
1717,What's Eatin' You,Airbourne,2007,3.6071,32,101.016,4
1718,The Best of My Love - 2013 Remaster,Eagles,1974,4.581516667,60,90.105,4
1719,Ode To Billie Joe,Bobbie Gentry,1967,4.250016667,55,120.142,4
1720,3 Libras,A Perfect Circle,2000,3.660666667,60,144.019,3
1721,Freaks In Love,Elton John,2020,4.59155,27,151.872,3
1722,Come Original,311,2004,3.706,46,93.894,4
1723,Manic Depression,Jimi Hendrix,1967,3.704883333,50,149.741,3
1724,Castles Made of Sand,Jimi Hendrix,1967,2.815333333,61,94.372,4
1725,The Kill,Thirty Seconds To Mars,2005,3.858883333,73,182.99,3
1726,Fall Back Down,Rancid,2003,3.72045,60,104.069,4
1727,Fascination Street - Remastered,The Cure,1989,5.2531,53,100.101,4
1728,Talk,Coldplay,2005,5.188183333,62,120.318,4
1729,I Want You (She's So Heavy) - Remastered 2009,The Beatles,1969,7.788666667,61,115.732,4
1730,When I'm Sixty Four - Remastered 2009,The Beatles,1967,2.627766667,63,140.411,4
1731,Drift Away,Various Artists,2017,3.905,55,75.836,4
1732,Spilt Needles,The Shins,2007,3.749166667,36,122.987,4
1733,I Thank You,ZZ Top,2014,3.032666667,31,110.55,4
1734,Harmonic Generator,The Datsuns,2002,3.066216667,36,128.456,4
1735,Everything To Everyone,Everclear,1997,3.337766667,52,100.027,4
1736,Gutter Black,Hello Sailor,2012,2.897766667,23,142.747,4
1737,Echoes,Pink Floyd,1971,23.54085,58,134.042,4
1738,Too Much,Dave Matthews Band,1996,4.360433333,34,114.753,4
1739,When The War Is Over - Live,Various Artists,2020,5.373016667,1,80.476,4
1740,Flake,Jack Johnson,2001,4.723333333,48,97.688,4
1741,Tear You Apart,She Wants Revenge,2005,4.74355,64,152.996,4
1742,Walk Away Renee,The Left Banke,1967,2.746883333,44,117.777,4
1743,Pure Massacre,Silverchair,1995,4.977333333,52,183.809,4
1744,Bother,Stone Sour,2002,4.006666667,66,89.914,4
1745,Big Gun,AC/DC,2009,4.32355,60,133.194,4
1746,Same Ol' Situation (S.O.S.),Mötley Crüe,1989,4.218666667,61,139.673,4
1747,Infected,Bad Religion,1994,4.126666667,56,121.575,4
1748,It Ain't Me Babe,Bob Dylan,1964,3.574,53,105.54,4
1749,The Fire Down Below,Bob Seger,1976,4.452866667,49,111.848,4
1750,Impossible Germany,Wilco,2007,5.952666667,51,104.95,4
1751,Flavor Of The Weak,American Hi-Fi,2001,3.147333333,62,151.944,4
1752,Teen Angst (What The World Needs Now),Cracker,1992,4.24,46,157.032,4
1753,Say You'll Haunt Me,Stone Sour,2010,4.406216667,58,140.021,4
1754,Unsung,Helmet,1992,3.94,61,160.303,4
1755,Son of a Preacher Man,Aretha Franklin,1970,3.3211,60,77.583,4
1756,Living Loving Maid (She's Just a Woman) - Remaster,Led Zeppelin,1969,2.655,48,152.098,4
1757,Mouth for War,Pantera,1992,3.955766667,58,156.899,4
1758,Ashes to Ashes - 2016 Remaster,Faith No More,1997,3.603333333,54,98.459,4
1759,Stage Fright - Remastered 2000,The Band,1970,3.728216667,39,113.544,4
1760,Whatever You Want,Status Quo,1979,4.0591,64,122.456,4
1761,The Payback,James Brown,1973,7.664883333,58,97.933,4
1762,Heatseeker,AC/DC,1988,3.84,59,159.991,4
1763,The Boys of Summer,The Ataris,2003,4.3,66,191.059,4
1764,"Blue On Black (feat. Kenny Wayne Shepherd, Brantley Gilbert & Brian May)",Five Finger Death Punch,2019,4.576916667,58,156.059,4
1765,Days Go By,The Offspring,2012,4.029766667,52,150.061,4
1766,Seagull - 2015 Remaster,Bad Company,1974,4.080666667,45,101.564,4
1767,Alone,Heart,1987,3.64555,73,175.088,4
1768,Youth Gone Wild,Skid Row,1989,3.3151,64,117.367,4
1769,The Core,Eric Clapton,1977,8.7571,41,103.966,4
1770,Boom Boom (Out Go The Lights) - Live,Pat Travers,1991,5.06,24,172.84,4
1771,Run-Around,Blues Traveler,2002,4.668216667,55,151.961,4
1772,Witchy Woman - 2013 Remaster,Eagles,2003,4.181466667,58,98.507,4
1773,There's No Way Out of Here,David Gilmour,1978,5.376,49,130.887,4
1774,Proud Mary,Ike & Tina Turner,1991,4.952216667,49,99.71,4
1775,September,"Earth, Wind & Fire",2018,3.584666667,71,125.901,4
1776,Easy Livin',Uriah Heep,1972,2.610433333,56,160.567,4
1777,Amongst The Waves,Pearl Jam,2009,3.981333333,50,127.102,4
1778,Wasteland,10 Years,2005,3.832883333,52,146.58,4
1779,Resolve,Foo Fighters,2005,4.810666667,45,110.356,4
1780,I'm a Man - 2002 Remaster,Chicago,1969,7.712666667,45,127.609,4
1781,Why Does It Always Rain On Me?,Travis,1999,4.416666667,63,108.448,4
1782,Weak,Skunk Anansie,1996,3.558216667,51,94.43,4
1783,Suicide Blonde,INXS,1990,3.8771,55,119.962,4
1784,Summertime,Big Brother & The Holding Company,1968,3.973333333,59,180.756,3
1785,Waterfront - 2002 Mix,Simple Minds,1983,4.832,54,120.117,4
1786,Sour Girl,Stone Temple Pilots,1999,4.270883333,53,207.575,4
1787,How's It Going to Be,Third Eye Blind,1997,4.22355,65,80.289,4
1788,So You Want to Be a Rock 'N' Roll Star,The Byrds,1967,2.102666667,35,154.044,4
1789,Evidence - 2016 Remaster,Faith No More,1995,4.893333333,53,98.008,4
1790,People of the Sun,Rage Against The Machine,1996,2.5011,58,93.046,4
1791,Shock To The System,Billy Idol,1993,3.561766667,39,84.588,4
1792,Don't Tread On Me,Metallica,1991,4.00555,58,108.003,4
1793,(I Know) I'm Losing You - Single Version,Rare Earth,1970,3.599766667,33,100.608,4
