index,name,artist,release_date,length,popularity,tempo,time_signature
86,Good Vibrations - Remastered,The Beach Boys,1967,3.650433333,70,133.449,4
87,All Right Now,Free,1970,5.510716667,70,120.059,4
88,Changes - 2015 Remaster,David Bowie,1971,3.6291,65,114.719,4
89,Paradise City,Guns N' Roses,1987,6.771766667,1,100.346,4
90,One (Remastered),Metallica,1988,7.43575,67,103.01,3
91,Hey Joe,Jimi Hendrix,1967,3.502666667,71,169.492,4
92,Sunshine Of Your Love,Cream,2004,4.173333333,71,115.099,4
93,Give It Away,Red Hot Chili Peppers,1991,4.7151,73,91.577,4
94,Take Me Out,Franz Ferdinand,2004,3.950433333,74,104.545,4
95,Sweet Home Alabama,Lynyrd Skynyrd,1974,4.73,82,97.798,4
96,Highway to Hell,AC/DC,1979,3.473333333,84,115.728,4
97,L.A. Woman,The Doors,1971,7.852666667,67,170.64,4
98,American Idiot,Green Day,2004,2.9391,79,186.113,4
99,Black Hole Sun,Soundgarden,1994,5.309766667,76,105.435,4
100,Maggie May,Rod Stewart,1971,5.837766667,72,129.449,4
101,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,1987,4.11555,69,205.528,4
102,Once in a Lifetime - 2005 Remaster,Talking Heads,1980,4.331766667,71,117.459,4
103,Strawberry Fields Forever - Remastered 2009,The Beatles,1967,4.122,70,97.871,4
104,Riders on the Storm,The Doors,1971,7.245333333,74,103.885,4
105,Thunderstruck,AC/DC,1990,4.881333333,82,133.52,4
106,Wonderwall - Remastered,Oasis,1995,4.3122,40,174.53,4
107,Good Riddance (Time of Your Life),Green Day,1997,2.557766667,75,94.605,4
108,The Boys Are Back In Town,Thin Lizzy,1976,4.445333333,74,80.823,4
109,Interstate Love Song - 2019 Remaster,Stone Temple Pilots,1994,3.24755,72,170.814,4
110,Start Me Up - Remastered,The Rolling Stones,1981,3.5511,76,122.429,4
111,Blitzkrieg Bop - 2016 Remaster,Ramones,1976,2.2411,71,176.701,4
112,Fight For Your Right,Beastie Boys,1986,3.47755,69,133.615,5
113,The One I Love - Remastered,R.E.M.,1987,3.296666667,64,127.862,4
114,Walk On the Wild Side,Lou Reed,1972,4.236216667,75,104.522,4
115,Under Pressure - (Tribute to Queen & David Bowie),Studio Allstars,2009,3.786883333,0,114.981,4
116,Yellow,Coldplay,2000,4.446216667,84,173.372,4
117,Ramble On - 1990 Remaster,Led Zeppelin,1969,4.388883333,70,98.429,4
118,We Are The Champions - Remastered 2011,Queen,1977,2.986666667,64,64.223,4
119,Go Your Own Way - 2004 Remaster,Fleetwood Mac,1977,3.726883333,75,135.448,4
120,Numb,Linkin Park,2003,3.0931,82,110.018,4
121,Blue Monday - 2016 Remaster,New Order,2005,7.513333333,69,130.27,4
122,While My Guitar Gently Weeps - Third Version / Take 27,The Beatles,2018,3.288433333,31,113.158,4
123,I Love Rock 'N Roll,Joan Jett & The Blackhearts,1981,2.91955,73,94.379,4
124,White Room,Cream,1968,4.972216667,72,109.827,4
125,How You Remind Me,Nickelback,2001,3.730666667,78,172.094,4
126,Space Oddity - 2015 Remaster,David Bowie,1969,5.31355,73,139.539,4
127,The Weight - Remastered,The Band,1968,4.574883333,73,143.868,4
128,Sledgehammer - 2012 Remaster,Peter Gabriel,1986,5.199766667,57,96.319,4
129,Mysterious Ways,U2,1991,4.059766667,61,99.768,4
130,Bring Me To Life,Evanescence,2003,3.93155,80,94.612,4
131,You Really Got Me - Mono Mix,The Kinks,1964,2.23755,71,137.382,4
132,Been Caught Stealing,Jane's Addiction,1990,3.578433333,58,103.758,4
133,Plush - 2017 Remaster,Stone Temple Pilots,1992,5.232433333,62,144.49,4
134,Rock the Casbah - Remastered,The Clash,1982,3.7071,72,129.894,4
135,Foxey Lady,Jimi Hendrix,1997,3.304883333,46,98.019,4
136,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,1975,13.51795,66,137.941,3
137,Livin' On A Prayer,Bon Jovi,1986,4.154883333,2,122.494,4
138,Me and Bobby McGee,Janis Joplin,1971,4.522216667,72,93.19,4
139,Who Are You,The Who,1978,6.360433333,69,156.372,4
140,Brown Sugar - 2009 Mix,The Rolling Stones,1971,3.8111,69,128.606,4
141,Black,Pearl Jam,1991,5.710883333,74,77.15,4
142,Lust For Life,Iggy Pop,1977,5.232083333,67,101.603,4
143,Carry on Wayward Son,Kansas,1976,5.383333333,75,126.755,4
144,Rock And Roll All Nite,KISS,1975,2.814,75,144.774,4
145,American Pie,Don McLean,1971,8.614883333,75,138.45,4
146,Cocaine,Eric Clapton,1977,3.694,67,105.266,4
147,Runnin' with the Devil - 2015 Remaster,Van Halen,1978,3.582666667,72,95.826,4
